shape_id,shape_pt_sequence,shape_pt_lon,shape_dist_traveled,shape_pt_lat
SH0200L2000_0,66,-99.1789891439085,4.44,19.4556410523784
SH0200L2000_0,67,-99.17889907063672,4.45,19.4555672563324
SH0200L2000_0,68,-99.1785122371265,4.51,19.455205386181603
SH0200L2000_0,69,-99.1777220188474,4.63,19.454466402196697
SH0200L2000_0,70,-99.17736393234148,4.68,19.4541986649417
SH0200L2000_0,71,-99.1769802245295,4.73,19.4539235852423
SH0200L2000_0,72,-99.1744988601433,5.05,19.4522302222651
SH0200L2000_0,73,-99.173451680269,5.19,19.4515182008712
SH0200L2000_0,74,-99.1732412923485,5.22,19.4513684799974
SH0200L2000_0,75,-99.17316105257191,5.23,19.451292519651
SH0200L2000_0,76,-99.1730792700071,5.24,19.4511878675447
SH0200L2000_0,77,-99.1729270545155,5.27,19.450984291035105
SH0200L2000_0,78,-99.17283078315268,5.29,19.4508352210471
SH0200L2000_0,79,-99.1715500963544,5.54,19.448933257559
SH0200L2000_0,80,-99.17081672393748,5.68,19.4478711054111
SH0200L2000_0,81,-99.1698826354806,5.86,19.4464887306227
SH0200L2000_0,82,-99.1695027051701,5.93,19.445937937145104
SH0200L2000_0,83,-99.1694421340436,5.94,19.44586506513361
SH0200L2000_0,84,-99.1693689622474,5.95,19.4457945959661
SH0200L2000_0,85,-99.16930967263156,5.96,19.4457420470743
SH0200L2000_0,86,-99.1690549299476,5.99,19.4455896725724
SH0200L2000_0,87,-99.1687144358466,6.03,19.4453887185522
SH0200L2000_0,88,-99.166777676069,6.27,19.4442713340619
SH0200L2000_0,89,-99.16591385179068,6.38,19.4437676034637
SH0200L2000_0,90,-99.1653753612654,6.45,19.4434321451858
SH0200L2000_0,91,-99.1650777509872,6.49,19.4432554746115
SH0200L2000_0,92,-99.16492896178758,6.51,19.4431826812904
SH0200L2000_0,93,-99.164763799677,6.53,19.4431206626754
SH0200L2000_0,94,-99.1646213387542,6.55,19.4430741654812
SH0200L2000_0,95,-99.1645104010561,6.56,19.4430431817633
SH0200L2000_0,96,-99.1642544977098,6.59,19.4429812449296
SH0200L2000_0,97,-99.16306576939172,6.72,19.4427157091582
SH0200L2000_0,98,-99.162693898358,6.76,19.4426323543688
SH0200L2000_0,99,-99.16223251343278,6.81,19.442515603427506
SH0200L2000_0,100,-99.1620597947922,6.83,19.4424571757463
SH0200L2000_0,101,-99.16184673025292,6.85,19.4423820461692
SH0200L2000_0,102,-99.161597096084,6.88,19.442285428984
SH0200L2000_0,103,-99.161334845102,6.91,19.442174476052
SH0200L2000_0,104,-99.1596063031752,7.11,19.4414801936142
SH0200L2000_0,105,-99.1577819077336,7.32,19.4406963115414
SH0200L2000_0,106,-99.15660140128372,7.46,19.4402058287946
SH0200L2000_0,107,-99.1535225467943,7.81,19.438936376995
SH0200L2000_0,108,-99.1533683623827,7.83,19.4388705019308
SH0200L2000_0,109,-99.1531421129204,7.86,19.4387924560446
SH0200L2000_0,110,-99.1520288203381,7.98,19.4385523687027
SH0200L2000_0,111,-99.14929500697652,8.27,19.4379539925959
SH0200L2000_0,112,-99.1483542011882,8.37,19.43779312535311
SH0200L2000_0,113,-99.14769873537908,8.44,19.4376492371919
SH0200L2000_0,114,-99.14289069281358,8.96,19.4366124769787
SH0200L2000_0,115,-99.1407610335334,9.19,19.436221043231303
SH0200L2000_0,116,-99.13900030186008,9.38,19.435880711059102
SH0200L2000_0,117,-99.135958425,9.7,19.435420373000103
SH0200L2000_0,118,-99.13318614199991,9.99,19.435044944
SH0200L2000_0,119,-99.1326897527392,10.04,19.4349624666964
SH0200L2000_0,120,-99.132533444303,10.06,19.4349147587457
