stop_id,stop_name,stop_lat,stop_lon,zone_id,wheelchair_boarding
0200L1-ZARAGOZA,Zaragoza,19.41192,-99.08229,0200L1-ZARAGOZA,1
0200L1-GOMEZFARIAS,Gómez Farías,19.41648,-99.09021,0200L1-GOMEZFARIAS,2
0200L1-PTOAEREO,Boulevard Puerto Aéreo,19.41994,-99.09626,0200L1-PTOAEREO,1
0200L1-BALBUENA,Balbuena,19.42336,-99.10277,0200L1-BALBUENA,1
0200L1-MOCTEZUMA,Moctezuma,19.42685,-99.1098,0200L1-MOCTEZUMA,1
0200L1-SANLAZARO,San Lázaro,19.43006,-99.11426,0200L1-SANLAZARO,2
0200L1-CANDELARIA,Candelaria,19.42954,-99.12091,0200L1-CANDELARIA,2
0200L1-MERCED,Merced,19.42549,-99.12503,0200L1-MERCED,1
0200L1-PINOSUAREZ,Pino Suárez,19.42592,-99.13264,0200L1-PINOSUAREZ,1
0200L1-ISABELLACA,Isabel la Católica,19.42639,-99.13783,0200L1-ISABELLACA,2
0200L1-SALTODELAGUA,Salto del Agua,19.42695,-99.14341,0200L1-SALTODELAGUA,1
0200L1-BALDERAS,Balderas,19.427,-99.14948,0200L1-BALDERAS,1
0200L1-CUAUHTEMOC,Cuauhtémoc,19.42566,-99.1546,0200L1-CUAUHTEMOC,1
0200L1-INSURGENTES,Insurgentes,19.42365,-99.16329,0200L1-INSURGENTES,1
0200L1-SEVILLA,Sevilla,19.42185,-99.17112,0200L1-SEVILLA,1
0200L1-CHAPULTEPEC,Chapultepec ,19.42075,-99.17642,0200L1-CHAPULTEPEC,2
0200L1-JUANACATLAN,Juanacatlán,19.41295,-99.18198,0200L1-JUANACATLAN,2
0200L1-TACUBAYA,Tacubaya,19.40251,-99.18764,0200L1-TACUBAYA,2
0200L1-OBSERVATORIO,Observatorio,19.39828,-99.2004,0200L1-OBSERVATORIO,1
